ID;Plaats;Straat;PostCode;Huisnummer;HuishoudenID;WatermeterID;LeidingID
1;Rotterdam;Industrieweg;3044CC;62A;4;3;3
2;Rotterdam;Gordelpad;3039GZ;205;3;2;1
3;Rotterdam;Gordelpad;3039GZ;227;3;2;2
4;Rotterdam;Crooswijksebocht;3034NC;69;3;2;1
5;Rotterdam;Kralingse Plaslaan;3062CD;113;5;4;2
6;Rotterdam;Taludweg;3042JZ;20;2;3;1
7;Rotterdam;Schiedamseweg;;230a;2;1;2
8;Rotterdam;Jan Kruijffstraat;3026VN;45A;3;2;3
9;Rotterdam;Schiedamseweg;3026AA;1A;3;4;3
10;Rotterdam;Aelbrechtskolk;;45;5;2;1
11;Rotterdam;Vierhavensstraat;3029BB;139;4;3;3
12;Rotterdam;Vierambachtsstraat;;2A;2;3;3
13;Rotterdam;Calandstraat;3016CB;8a;4;2;1
14;Rotterdam;Bentinckplein;3039KM;40;2;2;1
15;Rotterdam;Vasteland;3011BL;28;4;1;2
16;Rotterdam;West-Kruiskade;3014AS;26;2;2;1
17;Rotterdam;Witte de Withstraat;3012BM;47;2;3;1
18;Rotterdam;Jan van Troyenstraat;3039ZL;1;2;1;2
19;Rotterdam;Van Brakelstraat;3012XT;1;3;1;1
20;Rotterdam;Coolsedwarsstraat;3014LP;10;1;3;3
21;Rotterdam;Sint-Mariastraat;3014SJ;10;2;2;2
22;Rotterdam;Valkenstraat;3011VR;10;2;2;1
23;Rotterdam;Vissersdijk;3011GW;10;3;1;1
24;Rotterdam;Hoogstraat;3011PT;100A;1;3;3
25;Rotterdam;Eendrachtsstraat;3012XH;101G;4;4;1
26;Rotterdam;Pannekoekstraat;3011LL;102;5;3;3
27;Rotterdam;Bloemstraat;3014KE;103;2;1;1
28;Rotterdam;Nieuwehaven;3011VN;103;4;2;3
29;Rotterdam;Van der Sluysstraat;3033SH;103A;5;4;1
30;Rotterdam;Hoogstraat;3011PK;103D;2;2;2
31;Rotterdam;Stationssingel;3033HG;105A;4;2;1
32;Rotterdam;Schiedamse Vest;3011BE;106;5;4;1
33;Rotterdam;Westzeedijk;3016AH;106;2;3;1
34;Rotterdam;Weena;3013AL;1067;4;1;1
35;Rotterdam;Henegouwerlaan;3014CG;106B;2;3;1
36;Rotterdam;Doelstraat;3011AZ;107;4;1;2
37;Rotterdam;Librijesteeg;3011HN;109;3;3;3
38;Rotterdam;Hoogstraat;3011PL;109N;3;2;2
39;Rotterdam;Hoogstraat;3011PL;109T;5;2;3
40;Rotterdam;Stadhoudersweg;3039CB;10D;1;1;3
41;Rotterdam;Jufferhof;3011XN;11;2;2;3
42;Rotterdam;Koningin Emmaplein;3016AB;11;2;1;2
43;Rotterdam;Scheepmakerspassage;3011VH;11;4;1;1
44;Rotterdam;Baljuwstraat;3039AK;111;5;2;1
45;Rotterdam;Sint-Jacobstraat;3011DK;111;1;2;2
46;Rotterdam;Gouvernestraat;3014PL;111B;4;2;3
47;Rotterdam;Scheepmakerskade;3011VX;112;2;4;1
48;Rotterdam;Walenburgerplein;3039AP;114;3;2;2
49;Rotterdam;Hoogstraat;3011PL;115M;2;3;2
50;Rotterdam;'s-Gravendijkwal;3014EK;116B;5;1;1
51;Rotterdam;Lijnbaan;3012EN;117;2;1;3
52;Rotterdam;Eendrachtsstraat;3012XN;118;4;2;3
53;Rotterdam;Schepenstraat;3039NR;118C;2;1;2
54;Rotterdam;Wijnbrugstraat;3011XW;119;4;3;2
55;Rotterdam;Stadhoudersplein;3039EM;11A;3;2;1
56;Rotterdam;1e Middellandstraat;3014BA;11B;4;1;3
57;Rotterdam;Lumeystraat;3039ZM;11B;2;3;1
58;Rotterdam;Scheepstimmermanslaan;3016AC;11B;5;4;1
59;Rotterdam;Stadhoudersplein;3039EM;11B;3;4;1
60;Rotterdam;Van Houtenstraat;3039PA;11B;3;4;2
61;Rotterdam;Rochussenstraat;3015EA;11E;5;1;2
62;Rotterdam;Kapitein Imanhof;3011ZR;12;4;2;2
63;Rotterdam;Schiekade;3033BK;121A;3;4;2
64;Rotterdam;Lijnbaan;3012EN;123;4;3;2
65;Rotterdam;Hoogstraat;3011PL;123W;1;2;2
66;Rotterdam;Westzeedijk;3016AH;124;2;2;3
67;Rotterdam;Mauritsstraat;3012CH;125A;4;4;1
68;Rotterdam;Hoogstraat;3011PL;125C;2;1;2
69;Rotterdam;Schiekade;3033BK;125F;1;1;2
70;Rotterdam;Schiekade;3033BL;127D;5;2;1
71;Rotterdam;Hoogstraat;3011PL;127M;5;4;2
72;Rotterdam;Adrianastraat;3014XT;128;4;1;2
73;Rotterdam;Schiekade;3033BL;129;5;4;1
74;Rotterdam;Bierstraat;3011XA;12A;4;1;1
75;Rotterdam;Vasteland;3011BL;12A;2;1;1
76;Rotterdam;Boomgaardhof;3012JJ;12B;2;4;2
77;Rotterdam;Vasteland;3011BL;12H;3;2;2
78;Rotterdam;Jufferkade;3011VW;13;1;4;2
79;Rotterdam;Obreenstraat;3033RH;13;4;4;1
80;Rotterdam;Rederijstraat;3011XR;13;3;3;1
81;Rotterdam;Joost Banckertsplaats;3012HG;130;4;2;2
82;Rotterdam;Binnenrotte;3011HB;131;2;4;1
83;Rotterdam;Eendrachtsstraat;3012XJ;131B;5;1;3
84;Rotterdam;Mathenesserlaan;3015CH;133;2;2;1
85;Rotterdam;Rivierstraat;3016CH;135;4;4;3
86;Rotterdam;Van Oldenbarneveltstraat;3012GT;135A;3;4;1
87;Rotterdam;Groenendaal;3011SP;137;3;1;1
88;Rotterdam;Binnenrotte;3011HB;139;5;1;2
89;Rotterdam;Dresselhuysstraat;3039ZH;13A;3;1;1
90;Rotterdam;Schietbaanstraat;3014ZT;13C;3;2;1
91;Rotterdam;Kapitein Imanhof;3011ZR;14;5;3;2
92;Rotterdam;Oost-Wijnstraat;3011TZ;14;3;3;3
93;Rotterdam;Schieweg;3039BA;14;2;2;1
94;Rotterdam;Versijdenstraat;3033TK;14;4;2;3
95;Rotterdam;Statenweg;3039JN;140A;4;2;2
96;Rotterdam;Sint-Jacobstraat;3011DK;141;5;3;3
97;Rotterdam;Sint-Mariastraat;3014SR;146B;4;1;2
98;Rotterdam;Van Oldenbarneveltstraat;3012GX;148A;3;4;2
99;Rotterdam;Schiedamsesingel;3012BB;149C;2;1;3
100;Rotterdam;Weenapad;3013AS;15;3;3;3
101;Rotterdam;Van Vollenhovenstraat;3016BE;15;4;4;1
102;Rotterdam;Van Vollenhovenstraat;3016BE;15;2;2;1
103;Rotterdam;Van Vollenhovenstraat;3016BE;15;5;3;2
104;Rotterdam;Van Vollenhovenstraat;3016BE;15;5;2;3
105;Rotterdam;Jan Evertsenplaats;3012HW;150;4;1;2
106;Rotterdam;Mauritsstraat;3012CJ;150;1;1;1
107;Rotterdam;Scheepmakerspassage;3011VH;153;1;3;3
108;Rotterdam;Admiraliteitskade;3011TT;154;5;3;2
109;Rotterdam;Bajonetstraat;3014ZE;155;5;2;1
110;Rotterdam;Westersingel;3015LJ;155;3;2;2
111;Rotterdam;Nieuwe Binnenweg;3015BG;156A;5;4;2
112;Rotterdam;Jan Evertsenplaats;3012HW;159;1;3;2
113;Rotterdam;Dresselhuysstraat;3039ZH;15A;3;1;1
114;Rotterdam;Nieuwe Binnenweg;3014GB;15B;1;1;1
115;Rotterdam;1e Middellandstraat;3014BA;15B;4;3;2
116;Rotterdam;Doezastraat;3039ZB;15C;3;3;1
117;Rotterdam;Walenburgerplein;3039AM;16;2;2;3
118;Rotterdam;Nieuwe Binnenweg;3014GK;163;4;2;3
119;Rotterdam;Van Speykstraat;3014VS;166;4;4;2
120;Rotterdam;Wijnbrugstraat;3011XW;167;2;4;3
121;Rotterdam;Admiraliteitskade;3011TT;169;2;4;1
122;Rotterdam;Schiedamsedijk;3011EP;169;2;3;3
123;Rotterdam;'s-Gravendijkwal;3014EA;16B;1;4;2
124;Rotterdam;Goudsewagenstraat;3011RK;16D;1;4;1
125;Rotterdam;Willemskade;3016DL;16L;1;1;1
126;Rotterdam;Nieuwstraat;3011GM;170;1;2;2
127;Rotterdam;Gouvernestraat;3014PX;172;2;3;3
128;Rotterdam;Bajonetstraat;3014ZM;174;2;3;3
129;Rotterdam;Mariniersweg;3011NL;175;4;2;2
130;Rotterdam;Nieuwehaven;3011VN;179;2;3;2
131;Rotterdam;Versijdenstraat;3033TH;17B;4;4;3
132;Rotterdam;Zijl;3011PX;17D;5;3;3
133;Rotterdam;Diergaardesingel;3014AA;18;2;4;1
134;Rotterdam;Obreenstraat;3033RJ;18;3;3;3
135;Rotterdam;Westblaak;3012KN;180;5;2;2
