Id;AdresID;Datum; Waarde 
1;1;1-1-2022; 284 
2;2;1-1-2022; 103 
3;3;1-1-2022; 124 
4;4;1-1-2022; 12 
5;5;1-1-2022; 24 
6;6;1-1-2022; 71 
7;7;1-1-2022; 527 
8;8;1-1-2022; 318 
9;9;1-1-2022; 291 
10;10;1-1-2022; 411 
11;11;1-1-2022; 110 
12;12;1-1-2022; 6 
13;13;1-1-2022; 10 
14;14;1-1-2022; 450 
15;15;1-1-2022; 188 
16;16;1-1-2022; 280 
17;17;1-1-2022; 571 
18;18;1-1-2022; 115 
19;19;1-1-2022; 13 
20;20;1-1-2022; 3 
21;21;1-1-2022; 506 
22;22;1-1-2022; 271 
23;23;1-1-2022; 413 
24;24;1-1-2022; 77 
25;25;1-1-2022; 533 
26;26;1-1-2022; 100 
27;27;1-1-2022; 258 
28;28;1-1-2022; 291 
29;29;1-1-2022; 114 
30;30;1-1-2022; 556 
31;31;1-1-2022; 16 
32;32;1-1-2022; 100 
33;33;1-1-2022; 242 
34;34;1-1-2022; 188 
35;35;1-1-2022; 643 
36;36;1-1-2022; 125 
37;37;1-1-2022; 99 
38;38;1-1-2022; 897 
39;39;1-1-2022; 5 
40;40;1-1-2022; 30 
41;41;1-1-2022; 194 
42;42;1-1-2022; 632 
43;43;1-1-2022; 593 
44;44;1-1-2022; 203 
45;45;1-1-2022; 6 
46;46;1-1-2022; 396 
47;47;1-1-2022; 195 
48;48;1-1-2022; 68 
49;49;1-1-2022; 715 
50;50;1-1-2022; 209 
51;51;1-1-2022; 403 
52;52;1-1-2022; 515 
53;53;1-1-2022; 88 
54;54;1-1-2022; 225 
55;55;1-1-2022; 90 
56;56;1-1-2022; 55 
57;57;1-1-2022; 692 
58;58;1-1-2022; 50 
59;59;1-1-2022; 797 
60;60;1-1-2022; 396 
61;61;1-1-2022; 82 
62;62;1-1-2022; 47 
63;63;1-1-2022; 10 
64;64;1-1-2022; 291 
65;65;1-1-2022; 54 
66;66;1-1-2022; 339 
67;67;1-1-2022; 122 
68;68;1-1-2022; 184 
69;69;1-1-2022; 544 
70;70;1-1-2022; 135 
71;71;1-1-2022; 150 
72;72;1-1-2022; 99 
73;73;1-1-2022; 736 
74;74;1-1-2022; 6 
75;75;1-1-2022; 142 
76;76;1-1-2022; 817 
77;77;1-1-2022; 102 
78;78;1-1-2022; 870 
79;79;1-1-2022; 68 
80;80;1-1-2022; 36 
81;81;1-1-2022; 46 
82;82;1-1-2022; 122 
83;83;1-1-2022; 327 
84;84;1-1-2022; 297 
85;85;1-1-2022; 852 
86;86;1-1-2022; 836 
87;87;1-1-2022; 395 
88;88;1-1-2022; 434 
89;89;1-1-2022; 322 
90;90;1-1-2022; 276 
91;91;1-1-2022; 114 
92;92;1-1-2022; 111 
93;93;1-1-2022; 487 
94;94;1-1-2022; 560 
95;95;1-1-2022; 160 
96;96;1-1-2022; 210 
97;97;1-1-2022; 20 
98;98;1-1-2022; 227 
99;99;1-1-2022; 185 
100;100;1-1-2022; 477 
101;101;1-1-2022; 24 
102;102;1-1-2022; 54 
103;103;1-1-2022; 458 
104;104;1-1-2022; 80 
105;105;1-1-2022; 72 
106;106;1-1-2022; 23 
107;107;1-1-2022; 96 
108;108;1-1-2022; 142 
109;109;1-1-2022; 442 
110;110;1-1-2022; 215 
111;111;1-1-2022; 235 
112;112;1-1-2022; 382 
113;113;1-1-2022; 715 
114;114;1-1-2022; 133 
115;115;1-1-2022; 185 
116;116;1-1-2022; 319 
117;117;1-1-2022; 97 
118;118;1-1-2022; 6 
119;119;1-1-2022; 594 
120;120;1-1-2022; 3 
121;121;1-1-2022; 78 
122;122;1-1-2022; 139 
123;123;1-1-2022; 55 
124;124;1-1-2022; 132 
125;125;1-1-2022; 231 
126;126;1-1-2022; 177 
127;127;1-1-2022; 21 
128;128;1-1-2022; 22 
129;129;1-1-2022; 340 
130;130;1-1-2022; 241 
131;131;1-1-2022; 65 
132;132;1-1-2022; 85 
133;133;1-1-2022; 288 
134;134;1-1-2022; 15 
135;135;1-1-2022; 71 
136;136;1-1-2022; 227 
137;137;1-1-2022; 61 
138;138;1-1-2022; 19 
139;139;1-1-2022; 268 
140;140;1-1-2022; 801 
141;141;1-1-2022; 587 
142;142;1-1-2022; 497 
143;143;1-1-2022; 462 
144;144;1-1-2022; 476 
145;145;1-1-2022; 0 
146;146;1-1-2022; 62 
147;147;1-1-2022; 339 
148;148;1-1-2022; 35 
