Id;AdresID;Datum; Waarde 
1;1;1-7-2022; 49 
2;2;1-7-2022; 491 
3;3;1-7-2022; 15 
4;4;1-7-2022; 502 
5;5;1-7-2022; 338 
6;6;1-7-2022; 297 
7;7;1-7-2022; 628 
8;8;1-7-2022; 243 
9;9;1-7-2022; 24 
10;10;1-7-2022; 183 
11;11;1-7-2022; 122 
12;12;1-7-2022; 126 
13;13;1-7-2022; 429 
14;14;1-7-2022; 249 
15;15;1-7-2022; 16 
16;16;1-7-2022; 561 
17;17;1-7-2022; 355 
18;18;1-7-2022; 70 
19;19;1-7-2022; 12 
20;20;1-7-2022; 840 
21;21;1-7-2022; 423 
22;22;1-7-2022; 72 
23;23;1-7-2022; 293 
24;24;1-7-2022; 40 
25;25;1-7-2022; 58 
26;26;1-7-2022; 243 
27;27;1-7-2022; 89 
28;28;1-7-2022; 44 
29;29;1-7-2022; 87 
30;30;1-7-2022; 305 
31;31;1-7-2022; 6 
32;32;1-7-2022; 384 
33;33;1-7-2022; 107 
34;34;1-7-2022; 8 
35;35;1-7-2022; 2 
36;36;1-7-2022; 55 
37;37;1-7-2022; 570 
38;38;1-7-2022; 99 
39;39;1-7-2022; 12 
40;40;1-7-2022; 159 
41;41;1-7-2022; 397 
42;42;1-7-2022; 891 
43;43;1-7-2022; 166 
44;44;1-7-2022; 226 
45;45;1-7-2022; 68 
46;46;1-7-2022; 332 
47;47;1-7-2022; 78 
48;48;1-7-2022; 182 
49;49;1-7-2022; 11 
50;50;1-7-2022; 371 
51;51;1-7-2022; 320 
52;52;1-7-2022; 26 
53;53;1-7-2022; 125 
54;54;1-7-2022; 396 
55;55;1-7-2022; 204 
56;56;1-7-2022; 83 
57;57;1-7-2022; 124 
58;58;1-7-2022; 138 
59;59;1-7-2022; 464 
60;60;1-7-2022; 621 
61;61;1-7-2022; 204 
62;62;1-7-2022; 277 
63;63;1-7-2022; 448 
64;64;1-7-2022; 258 
65;65;1-7-2022; 499 
66;66;1-7-2022; 729 
67;67;1-7-2022; 37 
68;68;1-7-2022; 220 
69;69;1-7-2022; 752 
70;70;1-7-2022; 155 
71;71;1-7-2022; 204 
72;72;1-7-2022; 480 
73;73;1-7-2022; 308 
74;74;1-7-2022; 42 
75;75;1-7-2022; 29 
76;76;1-7-2022; 626 
77;77;1-7-2022; 230 
78;78;1-7-2022; 259 
79;79;1-7-2022; 166 
80;80;1-7-2022; 187 
81;81;1-7-2022; 171 
82;82;1-7-2022; 628 
83;83;1-7-2022; 249 
84;84;1-7-2022; 93 
85;85;1-7-2022; 12 
86;86;1-7-2022; 438 
87;87;1-7-2022; 215 
88;88;1-7-2022; 84 
89;89;1-7-2022; 460 
90;90;1-7-2022; 94 
91;91;1-7-2022; 239 
92;92;1-7-2022; 160 
93;93;1-7-2022; 785 
94;94;1-7-2022; 107 
95;95;1-7-2022; 64 
96;96;1-7-2022; 219 
97;97;1-7-2022; 4 
98;98;1-7-2022; 92 
99;99;1-7-2022; 16 
100;100;1-7-2022; 141 
101;101;1-7-2022; 373 
102;102;1-7-2022; 338 
103;103;1-7-2022; 440 
104;104;1-7-2022; 23 
105;105;1-7-2022; 297 
106;106;1-7-2022; 224 
107;107;1-7-2022; 429 
108;108;1-7-2022; 56 
109;109;1-7-2022; 48 
110;110;1-7-2022; 93 
111;111;1-7-2022; 772 
112;112;1-7-2022; 375 
113;113;1-7-2022; 359 
114;114;1-7-2022; 111 
115;115;1-7-2022; 128 
116;116;1-7-2022; 25 
117;117;1-7-2022; 103 
118;118;1-7-2022; 138 
119;119;1-7-2022; 126 
120;120;1-7-2022; 133 
121;121;1-7-2022; 89 
122;122;1-7-2022; 3 
123;123;1-7-2022; 476 
124;124;1-7-2022; 224 
125;125;1-7-2022; 355 
126;126;1-7-2022; 302 
127;127;1-7-2022; 64 
128;128;1-7-2022; 224 
129;129;1-7-2022; 17 
130;130;1-7-2022; 193 
131;131;1-7-2022; 553 
132;132;1-7-2022; 260 
133;133;1-7-2022; 37 
134;134;1-7-2022; 295 
135;135;1-7-2022; 738 
136;136;1-7-2022; 471 
137;137;1-7-2022; 635 
138;138;1-7-2022; 397 
139;139;1-7-2022; 427 
140;140;1-7-2022; 180 
141;141;1-7-2022; 1 
142;142;1-7-2022; 351 
143;143;1-7-2022; 325 
144;144;1-7-2022; 106 
145;145;1-7-2022; 670 
146;146;1-7-2022; 397 
147;147;1-7-2022; 705 
148;148;1-7-2022; 16 
149;149;1-7-2022; 366 
150;150;1-7-2022; 333 
151;151;1-7-2022; 104 
152;152;1-7-2022; 371 
153;153;1-7-2022; 480 
154;154;1-7-2022; 272 
155;155;1-7-2022; 124 
156;156;1-7-2022; 30 
157;157;1-7-2022; 78 
158;158;1-7-2022; 107 
159;159;1-7-2022; 38 
160;160;1-7-2022; 61 
161;161;1-7-2022; 414 
162;162;1-7-2022; 213 
163;163;1-7-2022; 812 
164;164;1-7-2022; 41 
165;165;1-7-2022; 163 
166;166;1-7-2022; 540 
167;167;1-7-2022; 20 
168;168;1-7-2022; 207 
169;169;1-7-2022; 11 
170;170;1-7-2022; 29 
171;171;1-7-2022; 33 
172;172;1-7-2022; 325 
173;173;1-7-2022; 55 
174;174;1-7-2022; 284 
175;175;1-7-2022; 352 
176;176;1-7-2022; 658 
177;177;1-7-2022; 294 
178;178;1-7-2022; 430 
179;179;1-7-2022; 103 
180;180;1-7-2022; 538 
181;181;1-7-2022; 155 
182;182;1-7-2022; 458 
183;183;1-7-2022; 565 
184;184;1-7-2022; 846 
185;185;1-7-2022; 16 
186;186;1-7-2022; 30 
187;187;1-7-2022; 210 
188;188;1-7-2022; 321 
189;189;1-7-2022; 246 
190;190;1-7-2022; 51 
191;191;1-7-2022; 292 
